id,target
boostcamp-sts-v1-test-000,3.9
boostcamp-sts-v1-test-001,4.3
boostcamp-sts-v1-test-002,2.1
boostcamp-sts-v1-test-003,0.3
boostcamp-sts-v1-test-004,3.3
boostcamp-sts-v1-test-005,2.9
boostcamp-sts-v1-test-006,4.1
boostcamp-sts-v1-test-007,1.6
boostcamp-sts-v1-test-008,0.1
boostcamp-sts-v1-test-009,4.9
boostcamp-sts-v1-test-010,1.5
boostcamp-sts-v1-test-011,2.6
boostcamp-sts-v1-test-012,3.0
boostcamp-sts-v1-test-013,2.1
boostcamp-sts-v1-test-014,1.2
boostcamp-sts-v1-test-015,4.5
boostcamp-sts-v1-test-016,5.1
boostcamp-sts-v1-test-017,2.8
boostcamp-sts-v1-test-018,5.0
boostcamp-sts-v1-test-019,4.3
boostcamp-sts-v1-test-020,2.8
boostcamp-sts-v1-test-021,2.5
boostcamp-sts-v1-test-022,2.3
boostcamp-sts-v1-test-023,0.8
boostcamp-sts-v1-test-024,1.6
boostcamp-sts-v1-test-025,2.7
boostcamp-sts-v1-test-026,1.3
boostcamp-sts-v1-test-027,1.1
boostcamp-sts-v1-test-028,3.7
boostcamp-sts-v1-test-029,2.7
boostcamp-sts-v1-test-030,4.4
boostcamp-sts-v1-test-031,0.5
boostcamp-sts-v1-test-032,2.3
boostcamp-sts-v1-test-033,2.3
boostcamp-sts-v1-test-034,2.8
boostcamp-sts-v1-test-035,0.4
boostcamp-sts-v1-test-036,3.4
boostcamp-sts-v1-test-037,0.2
boostcamp-sts-v1-test-038,1.4
boostcamp-sts-v1-test-039,3.3
boostcamp-sts-v1-test-040,0.4
boostcamp-sts-v1-test-041,4.0
boostcamp-sts-v1-test-042,0.4
boostcamp-sts-v1-test-043,1.3
boostcamp-sts-v1-test-044,2.8
boostcamp-sts-v1-test-045,5.4
boostcamp-sts-v1-test-046,2.2
boostcamp-sts-v1-test-047,2.1
boostcamp-sts-v1-test-048,0.1
boostcamp-sts-v1-test-049,3.6
boostcamp-sts-v1-test-050,-0.0
boostcamp-sts-v1-test-051,1.8
boostcamp-sts-v1-test-052,2.8
boostcamp-sts-v1-test-053,3.1
boostcamp-sts-v1-test-054,4.3
boostcamp-sts-v1-test-055,2.0
boostcamp-sts-v1-test-056,3.6
boostcamp-sts-v1-test-057,1.0
boostcamp-sts-v1-test-058,2.3
boostcamp-sts-v1-test-059,3.6
boostcamp-sts-v1-test-060,4.3
boostcamp-sts-v1-test-061,3.7
boostcamp-sts-v1-test-062,1.9
boostcamp-sts-v1-test-063,2.1
boostcamp-sts-v1-test-064,2.1
boostcamp-sts-v1-test-065,4.3
boostcamp-sts-v1-test-066,3.2
boostcamp-sts-v1-test-067,0.8
boostcamp-sts-v1-test-068,2.6
boostcamp-sts-v1-test-069,2.7
boostcamp-sts-v1-test-070,0.6
boostcamp-sts-v1-test-071,3.0
boostcamp-sts-v1-test-072,5.2
boostcamp-sts-v1-test-073,4.7
boostcamp-sts-v1-test-074,0.2
boostcamp-sts-v1-test-075,1.6
boostcamp-sts-v1-test-076,2.9
boostcamp-sts-v1-test-077,2.2
boostcamp-sts-v1-test-078,2.3
boostcamp-sts-v1-test-079,4.0
boostcamp-sts-v1-test-080,1.2
boostcamp-sts-v1-test-081,3.6
boostcamp-sts-v1-test-082,1.7
boostcamp-sts-v1-test-083,2.1
boostcamp-sts-v1-test-084,1.0
boostcamp-sts-v1-test-085,5.2
boostcamp-sts-v1-test-086,4.2
boostcamp-sts-v1-test-087,1.5
boostcamp-sts-v1-test-088,4.1
boostcamp-sts-v1-test-089,3.8
boostcamp-sts-v1-test-090,4.9
boostcamp-sts-v1-test-091,2.1
boostcamp-sts-v1-test-092,0.7
boostcamp-sts-v1-test-093,1.8
boostcamp-sts-v1-test-094,4.7
boostcamp-sts-v1-test-095,1.6
boostcamp-sts-v1-test-096,2.1
boostcamp-sts-v1-test-097,3.1
boostcamp-sts-v1-test-098,0.5
boostcamp-sts-v1-test-099,3.7
boostcamp-sts-v1-test-100,1.9
boostcamp-sts-v1-test-101,5.1
boostcamp-sts-v1-test-102,5.2
boostcamp-sts-v1-test-103,3.6
boostcamp-sts-v1-test-104,4.2
boostcamp-sts-v1-test-105,0.5
boostcamp-sts-v1-test-106,3.6
boostcamp-sts-v1-test-107,3.5
boostcamp-sts-v1-test-108,2.6
boostcamp-sts-v1-test-109,3.7
boostcamp-sts-v1-test-110,3.2
boostcamp-sts-v1-test-111,0.1
boostcamp-sts-v1-test-112,-0.0
boostcamp-sts-v1-test-113,2.9
boostcamp-sts-v1-test-114,1.0
boostcamp-sts-v1-test-115,2.3
boostcamp-sts-v1-test-116,0.1
boostcamp-sts-v1-test-117,5.2
boostcamp-sts-v1-test-118,2.9
boostcamp-sts-v1-test-119,3.6
boostcamp-sts-v1-test-120,4.4
boostcamp-sts-v1-test-121,2.0
boostcamp-sts-v1-test-122,1.8
boostcamp-sts-v1-test-123,3.6
boostcamp-sts-v1-test-124,3.5
boostcamp-sts-v1-test-125,1.8
boostcamp-sts-v1-test-126,3.8
boostcamp-sts-v1-test-127,4.9
boostcamp-sts-v1-test-128,4.2
boostcamp-sts-v1-test-129,5.0
boostcamp-sts-v1-test-130,3.4
boostcamp-sts-v1-test-131,4.0
boostcamp-sts-v1-test-132,4.8
boostcamp-sts-v1-test-133,2.4
boostcamp-sts-v1-test-134,5.3
boostcamp-sts-v1-test-135,4.0
boostcamp-sts-v1-test-136,1.2
boostcamp-sts-v1-test-137,4.0
boostcamp-sts-v1-test-138,2.6
boostcamp-sts-v1-test-139,2.4
boostcamp-sts-v1-test-140,4.4
boostcamp-sts-v1-test-141,1.2
boostcamp-sts-v1-test-142,3.2
boostcamp-sts-v1-test-143,4.3
boostcamp-sts-v1-test-144,0.7
boostcamp-sts-v1-test-145,0.5
boostcamp-sts-v1-test-146,0.8
boostcamp-sts-v1-test-147,0.8
boostcamp-sts-v1-test-148,0.5
boostcamp-sts-v1-test-149,4.2
boostcamp-sts-v1-test-150,2.0
boostcamp-sts-v1-test-151,4.9
boostcamp-sts-v1-test-152,2.1
boostcamp-sts-v1-test-153,2.2
boostcamp-sts-v1-test-154,1.1
boostcamp-sts-v1-test-155,0.5
boostcamp-sts-v1-test-156,4.9
boostcamp-sts-v1-test-157,5.2
boostcamp-sts-v1-test-158,4.8
boostcamp-sts-v1-test-159,1.2
boostcamp-sts-v1-test-160,5.0
boostcamp-sts-v1-test-161,0.7
boostcamp-sts-v1-test-162,3.1
boostcamp-sts-v1-test-163,1.2
boostcamp-sts-v1-test-164,3.5
boostcamp-sts-v1-test-165,5.1
boostcamp-sts-v1-test-166,0.7
boostcamp-sts-v1-test-167,4.0
boostcamp-sts-v1-test-168,0.8
boostcamp-sts-v1-test-169,4.3
boostcamp-sts-v1-test-170,3.2
boostcamp-sts-v1-test-171,2.0
boostcamp-sts-v1-test-172,4.4
boostcamp-sts-v1-test-173,1.1
boostcamp-sts-v1-test-174,4.3
boostcamp-sts-v1-test-175,2.2
boostcamp-sts-v1-test-176,0.1
boostcamp-sts-v1-test-177,5.1
boostcamp-sts-v1-test-178,1.6
boostcamp-sts-v1-test-179,4.2
boostcamp-sts-v1-test-180,2.8
boostcamp-sts-v1-test-181,2.6
boostcamp-sts-v1-test-182,2.4
boostcamp-sts-v1-test-183,0.7
boostcamp-sts-v1-test-184,2.5
boostcamp-sts-v1-test-185,4.3
boostcamp-sts-v1-test-186,2.6
boostcamp-sts-v1-test-187,3.5
boostcamp-sts-v1-test-188,-0.0
boostcamp-sts-v1-test-189,3.7
boostcamp-sts-v1-test-190,3.2
boostcamp-sts-v1-test-191,1.3
boostcamp-sts-v1-test-192,1.3
boostcamp-sts-v1-test-193,2.6
boostcamp-sts-v1-test-194,2.0
boostcamp-sts-v1-test-195,1.6
boostcamp-sts-v1-test-196,1.5
boostcamp-sts-v1-test-197,4.2
boostcamp-sts-v1-test-198,4.1
boostcamp-sts-v1-test-199,0.6
boostcamp-sts-v1-test-200,3.1
boostcamp-sts-v1-test-201,3.7
boostcamp-sts-v1-test-202,4.9
boostcamp-sts-v1-test-203,0.4
boostcamp-sts-v1-test-204,2.0
boostcamp-sts-v1-test-205,2.1
boostcamp-sts-v1-test-206,1.6
boostcamp-sts-v1-test-207,1.9
boostcamp-sts-v1-test-208,0.7
boostcamp-sts-v1-test-209,3.3
boostcamp-sts-v1-test-210,2.2
boostcamp-sts-v1-test-211,2.6
boostcamp-sts-v1-test-212,0.8
boostcamp-sts-v1-test-213,0.8
boostcamp-sts-v1-test-214,4.4
boostcamp-sts-v1-test-215,3.8
boostcamp-sts-v1-test-216,3.8
boostcamp-sts-v1-test-217,1.6
boostcamp-sts-v1-test-218,1.6
boostcamp-sts-v1-test-219,0.9
boostcamp-sts-v1-test-220,3.4
boostcamp-sts-v1-test-221,3.0
boostcamp-sts-v1-test-222,4.3
boostcamp-sts-v1-test-223,3.0
boostcamp-sts-v1-test-224,4.6
boostcamp-sts-v1-test-225,3.8
boostcamp-sts-v1-test-226,4.1
boostcamp-sts-v1-test-227,2.8
boostcamp-sts-v1-test-228,3.1
boostcamp-sts-v1-test-229,0.0
boostcamp-sts-v1-test-230,1.4
boostcamp-sts-v1-test-231,0.9
boostcamp-sts-v1-test-232,3.6
boostcamp-sts-v1-test-233,1.6
boostcamp-sts-v1-test-234,-0.1
boostcamp-sts-v1-test-235,2.4
boostcamp-sts-v1-test-236,2.0
boostcamp-sts-v1-test-237,2.4
boostcamp-sts-v1-test-238,2.8
boostcamp-sts-v1-test-239,2.2
boostcamp-sts-v1-test-240,1.6
boostcamp-sts-v1-test-241,1.3
boostcamp-sts-v1-test-242,0.5
boostcamp-sts-v1-test-243,5.0
boostcamp-sts-v1-test-244,2.2
boostcamp-sts-v1-test-245,4.3
boostcamp-sts-v1-test-246,3.1
boostcamp-sts-v1-test-247,4.0
boostcamp-sts-v1-test-248,4.4
boostcamp-sts-v1-test-249,3.9
boostcamp-sts-v1-test-250,0.7
boostcamp-sts-v1-test-251,0.9
boostcamp-sts-v1-test-252,-0.0
boostcamp-sts-v1-test-253,3.5
boostcamp-sts-v1-test-254,3.1
boostcamp-sts-v1-test-255,5.1
boostcamp-sts-v1-test-256,3.6
boostcamp-sts-v1-test-257,1.4
boostcamp-sts-v1-test-258,4.3
boostcamp-sts-v1-test-259,3.1
boostcamp-sts-v1-test-260,4.8
boostcamp-sts-v1-test-261,4.6
boostcamp-sts-v1-test-262,4.2
boostcamp-sts-v1-test-263,4.2
boostcamp-sts-v1-test-264,5.1
boostcamp-sts-v1-test-265,4.2
boostcamp-sts-v1-test-266,4.3
boostcamp-sts-v1-test-267,2.8
boostcamp-sts-v1-test-268,0.8
boostcamp-sts-v1-test-269,0.2
boostcamp-sts-v1-test-270,4.7
boostcamp-sts-v1-test-271,1.6
boostcamp-sts-v1-test-272,2.7
boostcamp-sts-v1-test-273,5.2
boostcamp-sts-v1-test-274,4.2
boostcamp-sts-v1-test-275,4.4
boostcamp-sts-v1-test-276,2.2
boostcamp-sts-v1-test-277,1.4
boostcamp-sts-v1-test-278,3.0
boostcamp-sts-v1-test-279,4.9
boostcamp-sts-v1-test-280,1.0
boostcamp-sts-v1-test-281,4.5
boostcamp-sts-v1-test-282,4.3
boostcamp-sts-v1-test-283,0.2
boostcamp-sts-v1-test-284,3.6
boostcamp-sts-v1-test-285,1.7
boostcamp-sts-v1-test-286,2.1
boostcamp-sts-v1-test-287,3.9
boostcamp-sts-v1-test-288,0.1
boostcamp-sts-v1-test-289,0.1
boostcamp-sts-v1-test-290,1.0
boostcamp-sts-v1-test-291,0.1
boostcamp-sts-v1-test-292,3.5
boostcamp-sts-v1-test-293,2.6
boostcamp-sts-v1-test-294,2.1
boostcamp-sts-v1-test-295,3.1
boostcamp-sts-v1-test-296,2.6
boostcamp-sts-v1-test-297,-0.1
boostcamp-sts-v1-test-298,5.2
boostcamp-sts-v1-test-299,0.8
boostcamp-sts-v1-test-300,5.1
boostcamp-sts-v1-test-301,3.1
boostcamp-sts-v1-test-302,1.0
boostcamp-sts-v1-test-303,2.5
boostcamp-sts-v1-test-304,3.3
boostcamp-sts-v1-test-305,2.2
boostcamp-sts-v1-test-306,1.6
boostcamp-sts-v1-test-307,4.9
boostcamp-sts-v1-test-308,1.0
boostcamp-sts-v1-test-309,1.2
boostcamp-sts-v1-test-310,4.2
boostcamp-sts-v1-test-311,2.0
boostcamp-sts-v1-test-312,0.2
boostcamp-sts-v1-test-313,5.1
boostcamp-sts-v1-test-314,2.4
boostcamp-sts-v1-test-315,3.1
boostcamp-sts-v1-test-316,4.1
boostcamp-sts-v1-test-317,1.0
boostcamp-sts-v1-test-318,4.9
boostcamp-sts-v1-test-319,1.4
boostcamp-sts-v1-test-320,0.6
boostcamp-sts-v1-test-321,0.4
boostcamp-sts-v1-test-322,4.1
boostcamp-sts-v1-test-323,0.9
boostcamp-sts-v1-test-324,1.0
boostcamp-sts-v1-test-325,5.0
boostcamp-sts-v1-test-326,4.1
boostcamp-sts-v1-test-327,1.7
boostcamp-sts-v1-test-328,3.4
boostcamp-sts-v1-test-329,0.4
boostcamp-sts-v1-test-330,1.2
boostcamp-sts-v1-test-331,3.6
boostcamp-sts-v1-test-332,3.9
boostcamp-sts-v1-test-333,4.9
boostcamp-sts-v1-test-334,1.8
boostcamp-sts-v1-test-335,4.1
boostcamp-sts-v1-test-336,3.6
boostcamp-sts-v1-test-337,2.0
boostcamp-sts-v1-test-338,4.7
boostcamp-sts-v1-test-339,1.8
boostcamp-sts-v1-test-340,1.2
boostcamp-sts-v1-test-341,5.3
boostcamp-sts-v1-test-342,2.8
boostcamp-sts-v1-test-343,2.5
boostcamp-sts-v1-test-344,5.0
boostcamp-sts-v1-test-345,3.6
boostcamp-sts-v1-test-346,2.3
boostcamp-sts-v1-test-347,2.7
boostcamp-sts-v1-test-348,2.5
boostcamp-sts-v1-test-349,1.7
boostcamp-sts-v1-test-350,4.9
boostcamp-sts-v1-test-351,2.7
boostcamp-sts-v1-test-352,2.7
boostcamp-sts-v1-test-353,0.5
boostcamp-sts-v1-test-354,-0.1
boostcamp-sts-v1-test-355,1.7
boostcamp-sts-v1-test-356,4.1
boostcamp-sts-v1-test-357,0.9
boostcamp-sts-v1-test-358,2.9
boostcamp-sts-v1-test-359,3.5
boostcamp-sts-v1-test-360,4.2
boostcamp-sts-v1-test-361,1.1
boostcamp-sts-v1-test-362,2.9
boostcamp-sts-v1-test-363,-0.1
boostcamp-sts-v1-test-364,3.0
boostcamp-sts-v1-test-365,5.3
boostcamp-sts-v1-test-366,1.4
boostcamp-sts-v1-test-367,0.9
boostcamp-sts-v1-test-368,0.0
boostcamp-sts-v1-test-369,0.5
boostcamp-sts-v1-test-370,1.6
boostcamp-sts-v1-test-371,4.4
boostcamp-sts-v1-test-372,3.5
boostcamp-sts-v1-test-373,-0.0
boostcamp-sts-v1-test-374,0.4
boostcamp-sts-v1-test-375,4.5
boostcamp-sts-v1-test-376,2.9
boostcamp-sts-v1-test-377,2.3
boostcamp-sts-v1-test-378,5.3
boostcamp-sts-v1-test-379,4.9
boostcamp-sts-v1-test-380,2.0
boostcamp-sts-v1-test-381,-0.0
boostcamp-sts-v1-test-382,2.1
boostcamp-sts-v1-test-383,2.1
boostcamp-sts-v1-test-384,0.9
boostcamp-sts-v1-test-385,2.8
boostcamp-sts-v1-test-386,3.7
boostcamp-sts-v1-test-387,1.5
boostcamp-sts-v1-test-388,1.8
boostcamp-sts-v1-test-389,2.1
boostcamp-sts-v1-test-390,4.3
boostcamp-sts-v1-test-391,1.9
boostcamp-sts-v1-test-392,0.9
boostcamp-sts-v1-test-393,5.2
boostcamp-sts-v1-test-394,4.1
boostcamp-sts-v1-test-395,3.5
boostcamp-sts-v1-test-396,0.6
boostcamp-sts-v1-test-397,4.2
boostcamp-sts-v1-test-398,1.9
boostcamp-sts-v1-test-399,1.0
boostcamp-sts-v1-test-400,2.3
boostcamp-sts-v1-test-401,1.1
boostcamp-sts-v1-test-402,1.4
boostcamp-sts-v1-test-403,5.2
boostcamp-sts-v1-test-404,5.2
boostcamp-sts-v1-test-405,0.5
boostcamp-sts-v1-test-406,4.1
boostcamp-sts-v1-test-407,1.4
boostcamp-sts-v1-test-408,3.3
boostcamp-sts-v1-test-409,5.0
boostcamp-sts-v1-test-410,2.8
boostcamp-sts-v1-test-411,1.3
boostcamp-sts-v1-test-412,0.3
boostcamp-sts-v1-test-413,3.9
boostcamp-sts-v1-test-414,3.3
boostcamp-sts-v1-test-415,0.6
boostcamp-sts-v1-test-416,3.2
boostcamp-sts-v1-test-417,3.1
boostcamp-sts-v1-test-418,4.9
boostcamp-sts-v1-test-419,2.0
boostcamp-sts-v1-test-420,4.2
boostcamp-sts-v1-test-421,3.7
boostcamp-sts-v1-test-422,3.8
boostcamp-sts-v1-test-423,4.2
boostcamp-sts-v1-test-424,2.8
boostcamp-sts-v1-test-425,1.5
boostcamp-sts-v1-test-426,2.4
boostcamp-sts-v1-test-427,4.6
boostcamp-sts-v1-test-428,3.8
boostcamp-sts-v1-test-429,3.0
boostcamp-sts-v1-test-430,0.7
boostcamp-sts-v1-test-431,1.5
boostcamp-sts-v1-test-432,2.2
boostcamp-sts-v1-test-433,1.6
boostcamp-sts-v1-test-434,0.1
boostcamp-sts-v1-test-435,2.6
boostcamp-sts-v1-test-436,2.4
boostcamp-sts-v1-test-437,1.7
boostcamp-sts-v1-test-438,2.4
boostcamp-sts-v1-test-439,3.4
boostcamp-sts-v1-test-440,0.3
boostcamp-sts-v1-test-441,2.5
boostcamp-sts-v1-test-442,3.4
boostcamp-sts-v1-test-443,1.1
boostcamp-sts-v1-test-444,4.1
boostcamp-sts-v1-test-445,0.7
boostcamp-sts-v1-test-446,3.9
boostcamp-sts-v1-test-447,1.3
boostcamp-sts-v1-test-448,4.6
boostcamp-sts-v1-test-449,3.8
boostcamp-sts-v1-test-450,2.3
boostcamp-sts-v1-test-451,1.6
boostcamp-sts-v1-test-452,3.8
boostcamp-sts-v1-test-453,1.8
boostcamp-sts-v1-test-454,2.3
boostcamp-sts-v1-test-455,1.7
boostcamp-sts-v1-test-456,0.9
boostcamp-sts-v1-test-457,2.4
boostcamp-sts-v1-test-458,0.6
boostcamp-sts-v1-test-459,2.8
boostcamp-sts-v1-test-460,0.0
boostcamp-sts-v1-test-461,4.4
boostcamp-sts-v1-test-462,4.4
boostcamp-sts-v1-test-463,3.3
boostcamp-sts-v1-test-464,1.2
boostcamp-sts-v1-test-465,0.1
boostcamp-sts-v1-test-466,2.2
boostcamp-sts-v1-test-467,1.6
boostcamp-sts-v1-test-468,2.9
boostcamp-sts-v1-test-469,1.7
boostcamp-sts-v1-test-470,3.0
boostcamp-sts-v1-test-471,2.0
boostcamp-sts-v1-test-472,4.0
boostcamp-sts-v1-test-473,2.5
boostcamp-sts-v1-test-474,2.1
boostcamp-sts-v1-test-475,-0.1
boostcamp-sts-v1-test-476,4.0
boostcamp-sts-v1-test-477,2.0
boostcamp-sts-v1-test-478,1.9
boostcamp-sts-v1-test-479,2.1
boostcamp-sts-v1-test-480,4.4
boostcamp-sts-v1-test-481,1.1
boostcamp-sts-v1-test-482,5.3
boostcamp-sts-v1-test-483,5.0
boostcamp-sts-v1-test-484,1.9
boostcamp-sts-v1-test-485,3.4
boostcamp-sts-v1-test-486,1.8
boostcamp-sts-v1-test-487,3.6
boostcamp-sts-v1-test-488,0.2
boostcamp-sts-v1-test-489,1.4
boostcamp-sts-v1-test-490,4.3
boostcamp-sts-v1-test-491,1.8
boostcamp-sts-v1-test-492,2.5
boostcamp-sts-v1-test-493,0.2
boostcamp-sts-v1-test-494,4.2
boostcamp-sts-v1-test-495,-0.0
boostcamp-sts-v1-test-496,4.9
boostcamp-sts-v1-test-497,5.2
boostcamp-sts-v1-test-498,3.5
boostcamp-sts-v1-test-499,2.6
boostcamp-sts-v1-test-500,1.0
boostcamp-sts-v1-test-501,4.9
boostcamp-sts-v1-test-502,3.8
boostcamp-sts-v1-test-503,2.0
boostcamp-sts-v1-test-504,5.2
boostcamp-sts-v1-test-505,0.5
boostcamp-sts-v1-test-506,1.0
boostcamp-sts-v1-test-507,0.8
boostcamp-sts-v1-test-508,0.0
boostcamp-sts-v1-test-509,4.0
boostcamp-sts-v1-test-510,1.3
boostcamp-sts-v1-test-511,1.3
boostcamp-sts-v1-test-512,0.0
boostcamp-sts-v1-test-513,2.0
boostcamp-sts-v1-test-514,0.8
boostcamp-sts-v1-test-515,1.0
boostcamp-sts-v1-test-516,0.9
boostcamp-sts-v1-test-517,2.3
boostcamp-sts-v1-test-518,4.9
boostcamp-sts-v1-test-519,0.7
boostcamp-sts-v1-test-520,0.7
boostcamp-sts-v1-test-521,2.8
boostcamp-sts-v1-test-522,1.4
boostcamp-sts-v1-test-523,2.8
boostcamp-sts-v1-test-524,1.5
boostcamp-sts-v1-test-525,3.2
boostcamp-sts-v1-test-526,1.9
boostcamp-sts-v1-test-527,0.8
boostcamp-sts-v1-test-528,1.7
boostcamp-sts-v1-test-529,4.0
boostcamp-sts-v1-test-530,4.7
boostcamp-sts-v1-test-531,1.4
boostcamp-sts-v1-test-532,0.0
boostcamp-sts-v1-test-533,1.5
boostcamp-sts-v1-test-534,1.5
boostcamp-sts-v1-test-535,4.4
boostcamp-sts-v1-test-536,3.9
boostcamp-sts-v1-test-537,3.7
boostcamp-sts-v1-test-538,1.5
boostcamp-sts-v1-test-539,0.1
boostcamp-sts-v1-test-540,1.3
boostcamp-sts-v1-test-541,4.6
boostcamp-sts-v1-test-542,2.9
boostcamp-sts-v1-test-543,1.0
boostcamp-sts-v1-test-544,1.5
boostcamp-sts-v1-test-545,2.4
boostcamp-sts-v1-test-546,5.3
boostcamp-sts-v1-test-547,5.0
boostcamp-sts-v1-test-548,2.6
boostcamp-sts-v1-test-549,2.3
boostcamp-sts-v1-test-550,0.7
